timestamp,voltage,temperature,current,soc,dt_seconds,runtime_left_minutes,abs_current,power,voltage_lag1,current_lag1,temperature_lag1,avg_voltage_5,avg_current_5,avg_temp_5,d_voltage,d_current,d_temperature
48:29.1,20304,25,0,86,1,,0,0,,,,,,,,,
48:31.7,20304,25,0,86,2.612441,,0,0,20304,0,25,,,,0,0,0
48:34.3,20304,25,1,86,2.576595,864300,1,20304,20304,0,25,,,,0,1,0
48:36.9,20304,25,0,86,2.545092,,0,0,20304,1,25,,,,0,-1,0
48:39.4,20304,25,0,86,2.567046,,0,0,20304,0,25,20304,0.2,25,0,0,0
48:42.0,20304,25,0,86,2.539595,,0,0,20304,0,25,20304,0.2,25,0,0,0
48:44.5,20304,25,0,86,2.569159,,0,0,20304,0,25,20304,0.2,25,0,0,0
48:47.1,20304,25,0,86,2.541283,,0,0,20304,0,25,20304,0,25,0,0,0
48:49.6,20304,25,0,86,2.570473,,0,0,20304,0,25,20304,0,25,0,0,0
48:52.2,20304,25,0,86,2.539797,,0,0,20304,0,25,20304,0,25,0,0,0
48:54.8,20304,25,0,86,2.568921,,0,0,20304,0,25,20304,0,25,0,0,0
48:57.3,20305,25,1,86,2.541025,864300,1,20305,20304,0,25,20304.2,0.2,25,1,1,0
48:59.9,20304,25,1,86,2.562551,864300,1,20304,20305,1,25,20304.2,0.4,25,-1,0,0
49:02.4,20304,25,1,86,2.540399,864300,1,20304,20304,1,25,20304.2,0.6,25,0,0,0
49:04.9,20304,25,0,86,2.549367,,0,0,20304,1,25,20304.2,0.6,25,0,-1,0
49:07.5,20304,25,0,86,2.576365,,0,0,20304,0,25,20304.2,0.6,25,0,0,0
49:10.1,20264,25,125,86,2.57472,6914,125,2533000,20304,0,25,20296,25.4,25,-40,125,0
49:12.6,20262,25,143,86,2.540696,6044,143,2897466,20264,125,25,20287.6,53.8,25,-2,18,0
49:15.2,20264,25,153,86,2.573111,5649,153,3100392,20262,143,25,20279.6,84.2,25,2,10,0
49:17.8,20261,25,167,86,2.54108,5175,167,3383587,20264,153,25,20271,117.6,25,-3,14,0
49:20.3,20090,25,289,86,2.573656,2990,289,5806010,20261,167,25,20228.2,175.4,25,-171,122,0
49:22.9,19631,25,609,86,2.541638,1419,609,11955279,20090,289,25,20101.6,272.2,25,-459,320,0
49:25.4,19493,25,1276,86,2.575399,677,1276,24873068,19631,609,25,19947.8,498.8,25,-138,667,0
49:28.0,20081,25,1332,86,2.541904,648,1332,26747892,19493,1276,25,19911.2,734.6,25,588,56,0
49:30.6,20123,25,1199,86,2.5762,720,1199,24127477,20081,1332,25,19883.6,941,25,42,-133,0
49:33.1,20128,25,1126,86,2.542381,767,1126,22664128,20123,1199,25,19891.2,1108.4,25,5,-73,0
49:35.7,20129,25,1035,86,2.57165,835,1035,20833515,20128,1126,25,19990.8,1193.6,25,1,-91,0
49:38.2,20131,25,983,86,2.542495,879,983,19788773,20129,1035,25,20118.4,1135,25,2,-52,0
49:40.8,20130,25,919,86,2.580171,940,919,18499470,20131,983,25,20128.2,1052.4,25,-1,-64,0
49:43.3,20130,25,862,86,2.542796,1002,862,17352060,20130,919,25,20129.6,985,25,0,-57,0
