timestamp,voltage,temperature,current,soc
2026-03-31T19:48:29.125099,20304,25,0,86
2026-03-31T19:48:31.737540,20304,25,0,86
2026-03-31T19:48:34.314135,20304,25,1,86
2026-03-31T19:48:36.859227,20304,25,0,86
2026-03-31T19:48:39.426273,20304,25,0,86
2026-03-31T19:48:41.965868,20304,25,0,86
2026-03-31T19:48:44.535027,20304,25,0,86
2026-03-31T19:48:47.076310,20304,25,0,86
2026-03-31T19:48:49.646783,20304,25,0,86
2026-03-31T19:48:52.186580,20304,25,0,86
2026-03-31T19:48:54.755501,20304,25,0,86
2026-03-31T19:48:57.296526,20305,25,1,86
2026-03-31T19:48:59.859077,20304,25,1,86
2026-03-31T19:49:02.399476,20304,25,1,86
2026-03-31T19:49:04.948843,20304,25,0,86
2026-03-31T19:49:07.525208,20304,25,0,86
2026-03-31T19:49:10.099928,20264,25,125,86
2026-03-31T19:49:12.640624,20262,25,143,86
2026-03-31T19:49:15.213735,20264,25,153,86
2026-03-31T19:49:17.754815,20261,25,167,86
2026-03-31T19:49:20.328471,20090,25,289,86
2026-03-31T19:49:22.870109,19631,25,609,86
2026-03-31T19:49:25.445508,19493,25,1276,86
2026-03-31T19:49:27.987412,20081,25,1332,86
2026-03-31T19:49:30.563612,20123,25,1199,86
2026-03-31T19:49:33.105993,20128,25,1126,86
2026-03-31T19:49:35.677643,20129,25,1035,86
2026-03-31T19:49:38.220138,20131,25,983,86
2026-03-31T19:49:40.800309,20130,25,919,86
2026-03-31T19:49:43.343105,20130,25,862,86
2026-03-31T19:49:45.919712,20148,25,784,86
2026-03-31T19:49:48.454788,20068,25,809,86
2026-03-31T19:49:51.029997,19831,25,1172,86
2026-03-31T19:49:53.574483,20171,25,1128,86
2026-03-31T19:49:56.155271,20184,25,1013,86
2026-03-31T19:49:58.700114,20190,25,867,86
2026-03-31T19:50:01.274639,20193,25,748,86
2026-03-31T19:50:03.817938,20196,25,681,86
2026-03-31T19:50:06.388510,20198,25,597,86
2026-03-31T19:50:08.982364,20201,25,550,86
2026-03-31T19:50:11.518499,20202,25,491,86
2026-03-31T19:50:14.100563,20200,25,458,86
2026-03-31T19:50:16.637159,20202,25,418,86
2026-03-31T19:50:19.218719,20200,25,385,86
2026-03-31T19:50:21.792376,20200,25,366,86
2026-03-31T19:50:24.381406,20007,25,474,86
2026-03-31T19:50:26.920342,20002,25,586,86
2026-03-31T19:50:29.504619,19992,25,719,86
2026-03-31T19:50:32.095992,19988,25,827,86
2026-03-31T19:50:34.640981,19977,25,892,86
2026-03-31T19:50:37.228430,19976,25,972,86
2026-03-31T19:50:39.774490,19968,25,1016,86
2026-03-31T19:50:42.365535,19964,25,1073,86
2026-03-31T19:50:44.911359,19960,25,1106,86
2026-03-31T19:50:47.487179,19954,25,1150,86
2026-03-31T19:50:50.090241,19945,25,1188,86
2026-03-31T19:50:52.629174,19902,25,1229,86
2026-03-31T19:50:55.227293,19870,25,1306,86
2026-03-31T19:50:57.766401,19917,25,1323,86
2026-03-31T19:51:00.353061,19929,25,1362,86
